City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Comodoro Rivadavia,AR,2022-01-09 23:44:14,-45.8667,-67.5,82.26,21,0,23.02
68,Souillac,MU,2022-01-09 23:46:20,-20.5167,57.5167,76.35,100,75,3.44
69,Tuktoyaktuk,CA,2022-01-09 23:46:20,69.4541,-133.0374,-23.8,69,20,9.22
70,Aswan,EG,2022-01-09 23:46:21,24.0934,32.907,58.3,44,0,16.11
71,Tasiilaq,GL,2022-01-09 23:46:21,65.6145,-37.6368,32.16,70,100,47.83
72,Bintulu,MY,2022-01-09 23:46:22,3.1667,113.0333,75.61,94,40,0.0
73,Sakakah,SA,2022-01-09 23:46:22,29.9697,40.2064,65.77,44,99,10.13
74,Lata,PT,2022-01-09 23:46:23,40.1629,-8.3327,56.05,99,100,3.15
75,Yellowknife,CA,2022-01-09 23:44:07,62.456,-114.3525,-25.58,88,75,3.44
76,Vao,NC,2022-01-09 23:46:23,-22.6667,167.4833,77.36,80,82,23.13
77,Praya,CV,2022-01-09 23:46:24,14.9215,-23.5087,72.14,78,40,10.36
78,Sinolon,PH,2022-01-09 23:46:25,6.2439,124.8144,77.41,80,96,0.36
79,Talnakh,RU,2022-01-09 23:46:25,69.4865,88.3972,-3.8,98,100,3.11
80,Cayenne,GF,2022-01-09 23:46:26,4.9333,-52.3333,80.1,78,0,3.0
81,Sitka,US,2022-01-09 23:46:26,57.0531,-135.33,44.49,76,100,20.71
82,Tiarei,PF,2022-01-09 23:46:27,-17.5333,-149.3333,82.42,79,99,24.36
83,Villamontes,BO,2022-01-09 23:46:27,-21.25,-63.5,85.93,41,100,3.78
84,Narsaq,GL,2022-01-09 23:46:28,60.9167,-46.05,19.62,90,100,2.06
85,Ribeira Grande,PT,2022-01-09 23:46:28,38.5167,-28.7,61.41,77,100,20.38
86,Den Helder,NL,2022-01-09 23:46:28,52.9599,4.7593,44.98,87,75,2.3
87,Sand Springs,US,2022-01-09 23:46:29,36.1398,-96.1089,39.16,41,0,5.75
88,Yamada,JP,2022-01-09 23:46:29,39.4667,141.95,34.14,65,99,3.96
89,Dundalk,US,2022-01-09 23:46:30,39.2507,-76.5205,44.64,93,90,5.01
90,Thompson,CA,2022-01-09 23:47:30,55.7435,-97.8558,-21.84,69,0,10.36
91,Salinopolis,BR,2022-01-09 23:47:31,-0.6136,-47.3561,77.49,85,98,3.27
92,Barabinsk,RU,2022-01-09 23:47:31,55.3571,78.357,-5.33,97,32,7.94
93,Luanda,AO,2022-01-09 23:47:32,-8.8368,13.2343,77.0,83,75,5.75
